STEP 0; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 0 resources out of10
STEP 337; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 2 resources out of10
STEP 338; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 339; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 340; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 341; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 342; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 2 }. Found 2 resources out of10
STEP 343; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 344; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 345; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 346; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 4 }. Found 2 resources out of10
STEP 347; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 7 }. Found 2 resources out of10
STEP 348; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 349; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 3 }. Found 2 resources out of10
STEP 350; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 351; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 3 }. Found 2 resources out of10
STEP 352; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 353; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 1 }. Found 2 resources out of10
STEP 354; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 3 }. Found 2 resources out of10
STEP 355; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 356; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 357; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 358; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 359; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 360; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 5 }. Found 2 resources out of10
STEP 361; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 2 resources out of10
STEP 362; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 363; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 3 }. Found 2 resources out of10
STEP 364; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 365; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 0 }. Found 2 resources out of10
STEP 366; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 367; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 2 resources out of10
STEP 368; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 369; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 6 }. Found 2 resources out of10
STEP 370; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 2 resources out of10
STEP 371; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 372; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 373; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 374; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 1 }. Found 2 resources out of10
STEP 375; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 376; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 2 resources out of10
STEP 377; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 2 }. Found 2 resources out of10
STEP 378; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 379; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 2 resources out of10
STEP 380; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 3 }. Found 2 resources out of10
STEP 381; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 382; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 383; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 384; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 5 }. Found 2 resources out of10
STEP 385; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 386; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 2 resources out of10
STEP 387; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 388; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 389; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 2 resources out of10
STEP 390; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 4 }. Found 2 resources out of10
STEP 391; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 392; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 393; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 394; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 7 }. Found 2 resources out of10
STEP 395; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 5 }. Found 2 resources out of10
STEP 396; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 397; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 2 resources out of10
STEP 398; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 399; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
STEP 400; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 401; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 402; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 403; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 7 }. Found 2 resources out of10
STEP 404; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 2 resources out of10
STEP 405; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 406; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 407; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 2 resources out of10
STEP 408; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 409; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 410; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 2 }. Found 2 resources out of10
STEP 411; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 412; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 413; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 414; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
STEP 415; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 416; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 1 }. Found 2 resources out of10
STEP 417; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 418; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 4 }. Found 2 resources out of10
STEP 419; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 2 resources out of10
STEP 420; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 421; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 2 }. Found 2 resources out of10
STEP 422; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 4 }. Found 2 resources out of10
STEP 423; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 2 resources out of10
STEP 424; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 2 resources out of10
STEP 425; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 426; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 4 }. Found 2 resources out of10
STEP 427; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 428; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 429; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 6 }. Found 2 resources out of10
STEP 430; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 1 }. Found 2 resources out of10
STEP 431; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 2 }. Found 2 resources out of10
STEP 432; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 433; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 4 }. Found 2 resources out of10
STEP 434; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 435; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 5 }. Found 2 resources out of10
STEP 436; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 437; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 438; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 2 resources out of10
STEP 439; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 2 }. Found 2 resources out of10
STEP 440; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 441; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 0 }. Found 2 resources out of10
STEP 442; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 7 }. Found 2 resources out of10
STEP 443; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 444; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 445; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 2 resources out of10
STEP 446; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 2 resources out of10
STEP 447; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 3 }. Found 2 resources out of10
STEP 448; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 449; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 0 }. Found 2 resources out of10
STEP 450; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 1 }. Found 2 resources out of10
STEP 451; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 452; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 453; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 454; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 455; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 456; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 457; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 2 }. Found 2 resources out of10
STEP 458; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 459; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 460; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 461; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 5 }. Found 2 resources out of10
STEP 462; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 6 }. Found 2 resources out of10
STEP 463; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 2 resources out of10
STEP 464; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 465; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 466; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 7 }. Found 2 resources out of10
STEP 467; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 468; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 2 resources out of10
STEP 469; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
STEP 470; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 2 resources out of10
STEP 471; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 472; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 473; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 474; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 2 resources out of10
STEP 475; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 476; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 477; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 478; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 479; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 2 }. Found 2 resources out of10
STEP 480; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 481; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 482; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 483; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 484; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 7 }. Found 2 resources out of10
STEP 485; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 5 }. Found 2 resources out of10
STEP 486; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 487; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 488; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 489; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 5 }. Found 2 resources out of10
STEP 490; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 491; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 492; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 2 }. Found 2 resources out of10
STEP 493; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 494; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 7 }. Found 2 resources out of10
STEP 495; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 1 }. Found 2 resources out of10
STEP 496; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 1 }. Found 2 resources out of10
STEP 497; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 498; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 499; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 0 }. Found 2 resources out of10
STEP 500; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 501; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 3 }. Found 2 resources out of10
STEP 502; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 1 }. Found 2 resources out of10
STEP 503; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 504; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 505; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 506; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 2 }. Found 2 resources out of10
STEP 507; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 508; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 2 resources out of10
STEP 509; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 4 }. Found 2 resources out of10
STEP 510; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 511; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 512; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 3 }. Found 2 resources out of10
STEP 513; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 514; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 515; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 2 resources out of10
STEP 516; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 517; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 518; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 519; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 2 resources out of10
STEP 520; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 521; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 522; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 523; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 1 }. Found 2 resources out of10
STEP 524; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 2 resources out of10
STEP 525; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 3 }. Found 2 resources out of10
STEP 526; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 2 }. Found 2 resources out of10
STEP 527; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 528; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 1 }. Found 2 resources out of10
STEP 529; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 530; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 531; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 532; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 533; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 534; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 1 }. Found 2 resources out of10
STEP 535; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 536; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 5 }. Found 2 resources out of10
STEP 537; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 538; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 539; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 5 }. Found 2 resources out of10
STEP 540; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 541; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 542; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
STEP 543; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 544; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 545; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 546; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 5 }. Found 2 resources out of10
STEP 547; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 548; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 549; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 550; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 5 }. Found 2 resources out of10
STEP 551; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 1 }. Found 2 resources out of10
STEP 552; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 553; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 6 }. Found 2 resources out of10
STEP 554; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 555; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 556; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 557; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 558; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 2 resources out of10
STEP 559; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 560; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 561; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 2 resources out of10
STEP 562; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 2 resources out of10
STEP 563; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 5 }. Found 2 resources out of10
STEP 564; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 565; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 2 resources out of10
STEP 566; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 567; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 3 }. Found 2 resources out of10
STEP 568; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 2 resources out of10
STEP 569; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 570; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 5 }. Found 2 resources out of10
STEP 571; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 572; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 573; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 574; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 575; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 2 resources out of10
STEP 576; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 577; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 578; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 2 }. Found 2 resources out of10
STEP 579; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 580; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
